date,gross_return,net_return,turnover,regime,w_spy,w_iwm,w_tlt,w_cash
2019-01-02,0.0035894027532548203,0.0030910700904304036,1.0,correction,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-03,-0.0028437121990262564,-0.0028437121990262564,0.0,correction,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-04,0.006686632170959219,0.006686632170959219,0.0,correction,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-07,0.0015202818472320142,0.0015202818472320142,0.0,bull,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-08,0.002289042919331085,0.002289042919331085,0.0,bull,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-09,0.0009917920866549304,0.0009917920866549304,0.0,bull,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-10,-0.002388726419350152,-0.002388726419350152,0.0,bull,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-11,0.0024745794320961993,0.0024745794320961993,0.0,bull,0.39627131007352906,0.008656273977464043,0.595072415949007,0.0
2019-01-14,-0.004781316574471742,-0.004792777136867319,0.022811662502619654,bull,0.4190829725761487,0.008233731140275915,0.5726832962835754,0.0
2019-01-15,0.003168452561775168,0.0031553865775485797,0.02621472640367154,bull,0.4452976989798202,0.007947917291593972,0.5467543837285858,0.0
2019-01-16,0.0017221809946371767,0.0017075165332311672,0.029379260627711384,bull,0.47467695960753165,0.007661086880274179,0.5176619535121942,0.0
2019-01-17,0.004019638227124538,0.004003972331199765,0.03145774137126879,bull,0.5061347009788004,0.007361584982261942,0.48650371403893766,0.0
2019-01-18,0.004822649354569126,0.0048072892987361575,0.030868384740473293,bull,0.5370030857192737,0.007302248655912975,0.4556946656248133,0.0
2019-01-22,-0.004818223780585024,-0.004831165442197228,0.025758744862347187,bull,0.5624963467900466,0.007567732447487277,0.4299359207624661,0.0
2019-01-23,0.0010374825904018918,0.001025246283364256,0.024497867279483672,bull,0.5867792879942807,0.007782658522736882,0.4054380534829825,0.0
2019-01-24,0.002869140117468302,0.0028569150135098207,0.024520309840281113,bull,0.6111799684560477,0.007902287901250946,0.38091774364270137,0.0
2019-01-25,0.003767355734127678,0.0037551168372535666,0.024570033874187228,bull,0.6357267686319656,0.007925521599520258,0.35634770976851415,0.0
2019-01-28,-0.005402645155672529,-0.005414756808890877,0.024092643492566332,bull,0.659819412124532,0.00792147901021753,0.33225910886525056,0.0
2019-01-29,0.000636801015975607,0.0006248631514453525,0.02389079538817134,bull,0.6837102075127033,0.00782164050947275,0.30846815197782396,0.0
2019-01-30,0.010623102454431573,0.010623102454431573,0.0,bull,0.6837102075127033,0.00782164050947275,0.30846815197782396,0.0
2019-01-31,0.008689608669059722,0.008679313758372813,0.02076941157258236,bull,0.7036273546944544,0.008673904900304058,0.2876987404052416,0.0
2019-02-01,-0.0013925636611362739,-0.0013925636611362739,0.0,bull,0.7036273546944544,0.008673904900304058,0.2876987404052416,0.0
2019-02-04,0.004020673245290703,0.004009539646531495,0.02235678241291823,bull,0.7255111210898442,0.009146920917832497,0.2653419579923234,0.0
2019-02-05,0.004244990509955934,0.004234360593399563,0.02135015924879132,bull,0.7466248331541808,0.009383368102287131,0.24399179874353205,0.0
2019-02-06,-0.0009120888415405477,-0.0009222682858012893,0.020340224345933536,bull,0.7669315904325488,0.009416835169852736,0.22365157439759853,0.0
2019-02-07,-0.005927678679542781,-0.005927678679542781,0.0,bull,0.7669315904325488,0.009416835169852736,0.22365157439759853,0.0
2019-02-08,0.0018384297464179521,0.0018283139418939984,0.02026873513313377,bull,0.7872003255656825,0.00929127388405315,0.20350840055026434,0.0
2019-02-11,-0.0002844500975764221,-0.0002844500975764221,0.0,bull,0.7872003255656825,0.00929127388405315,0.20350840055026434,0.0
2019-02-12,0.009674712046593797,0.009674712046593797,0.0,bull,0.7872003255656825,0.00929127388405315,0.20350840055026434,0.0
2019-02-13,0.001953535492609498,0.001943236932682644,0.02063729011910964,bull,0.8078376156847922,0.009060350099538676,0.18310203421566917,0.0
