date,gross_return,net_return,turnover,regime,w_spy,w_iwm,w_tlt,w_cash
2019-01-02,0.00253520407355417,0.00203634566096356,1.0,correction,0.6462094882961001,0.006254480358752959,0.34753603134514693,0.0
2019-01-03,0.0023546973302747526,0.002156923923741007,0.39644009958087595,correction,0.24976938871522417,0.007490936955622084,0.7427396743291537,1.1102230246251565e-16
2019-01-04,-6.482604806562034e-05,-6.746827031268737e-05,0.0052840949546496515,correction,0.25297786095595454,0.0022068420009725186,0.7448152970430729,0.0
2019-01-07,0.0004114147255869214,0.00038667127339465386,0.04950665572895172,bull,0.29854148471920117,0.006149873966677593,0.6953086413141212,0.0
2019-01-08,0.0019588704020881676,0.0019220294473347498,0.07382502437564642,bull,0.372102374530674,0.006414008530851145,0.6214836169384748,0.0
2019-01-09,0.001965872337790342,0.001872862320943327,0.18637741740215763,bull,0.5584797919328315,0.004949489869980467,0.4365707181971879,2.220446049250313e-16
2019-01-10,0.001084888258972957,0.0009892025001509645,0.19157008160745603,bull,0.7500498735402875,0.0041176195000380165,0.2458325069596745,0.0
2019-01-11,0.0007529087224835015,0.0006814419497715193,0.14303609063514222,bull,0.8930859641754297,0.002531321391543048,0.10438271443302724,0.0
2019-01-14,-0.006010508523044056,-0.006036846209838185,0.05235902787285206,bull,0.9440738579796677,0.0039024554601571277,0.05202368656017518,0.0
2019-01-15,0.010012856865483472,0.009990954121845582,0.04424582405288616,bull,0.8998280339267816,0.009616732935832813,0.09055523313738569,0.0
2019-01-16,0.0023857463250327015,0.002356065185266501,0.05950318888002959,bull,0.9593312228068112,0.004068033515330063,0.03660074367785884,0.0
2019-01-17,0.007404567534545939,0.0073967129807919725,0.01582579621436115,bull,0.9751570190211722,0.0031673591612589405,0.021675621817568748,0.0
2019-01-18,0.011577135161195564,0.011538532938335568,0.07810193844155028,bull,0.897055080579622,0.015719313523620878,0.08722560589675717,0.0
2019-01-22,-0.007441171423975361,-0.0075537583156293844,0.22349186384140507,bull,0.673563216738217,0.023235922885798732,0.30320086037598426,1.1102230246251565e-16
2019-01-23,0.0016738954200955771,0.0015900327283063407,0.16799932890164251,bull,0.8415625456398594,0.008519278784250938,0.14991817557588963,0.0
2019-01-24,0.0010222442412841544,0.0009840475928192542,0.07646996900863165,bull,0.9180325146484909,0.00575308692661794,0.076214398424891,2.220446049250313e-16
2019-01-25,0.007788426898203535,0.0077748137407492954,0.027439006222042924,bull,0.9454715208705338,0.004539934598553133,0.04998854453091305,0.0
2019-01-28,-0.007267005314749191,-0.007269226772110603,0.004410740168899334,bull,0.9410607807016345,0.006831926932142745,0.05210729236622269,1.1102230246251565e-16
2019-01-29,-0.0011707748056670071,-0.0011862954113761768,0.031004649810065087,bull,0.9720654305116995,0.0029338371646033287,0.025000732323697053,0.0
2019-01-30,0.012424070380328545,0.012325050001084177,0.20050665156057187,bull,0.7715587789511277,0.03911846252142981,0.18932275852744251,0.0
2019-01-31,0.00871287531553312,0.00867876047273165,0.06882558569169656,bull,0.8403843646428243,0.02778010386398948,0.13183553149318633,0.0
2019-02-01,0.00014408224168169578,9.473663704073744e-05,0.09870299465741789,bull,0.9390873593002421,0.008676431845388221,0.05223620885436966,0.0
2019-02-04,0.006687295535469355,0.00667447184246447,0.02581930686503916,bull,0.9649066661652813,0.004757936710414102,0.03033539712430465,0.0
2019-02-05,0.0041793304569161995,0.004172356060213879,0.014007163166403746,bull,0.978913829331685,0.0032980723960469045,0.017788098272268068,0.0
2019-02-06,-0.001300297091868727,-0.001304753394224412,0.008901003375903037,bull,0.9878148327075881,0.002096287204833321,0.010088880087578626,0.0
2019-02-07,-0.008872208160579579,-0.008891700001625185,0.03863896396901319,bull,0.949175868738575,0.008123333397772988,0.04270079786365221,0.0
2019-02-08,0.0012769224224262756,0.0012623098891769362,0.029262194679582215,bull,0.978438063418157,0.0029661859375224343,0.018595750644320466,1.1102230246251565e-16
2019-02-11,0.0005242593821064929,0.0005224888247203262,0.0035429685852228156,bull,0.980162612077556,0.00478460586334632,0.015052782059097804,0.0
2019-02-12,0.012146607861131262,0.0121309843847079,0.03162856470532977,bull,0.9485340473722261,0.010222232542273734,0.04124372008550011,0.0
2019-02-13,0.003110893390748742,0.0030962264233098,0.029425115922122887,bull,0.9779591632943491,0.0036299439669180305,0.018410892738732972,0.0
2019-02-14,-0.00207195079834798,-0.0020729069063266468,0.0019082571294792565,bull,0.9795327137391298,0.003964650651616588,0.016502635609253708,0.0
2019-02-15,0.010702079088504625,0.01070067673000003,0.0028348925175829794,bull,0.9766978212215467,0.005545637978756931,0.01775654079969626,0.0
2019-02-19,0.0017390639845651639,0.0017334299955820557,0.011287558953062351,bull,0.9879853801746091,0.0023984496570314128,0.009616170168359514,0.0
2019-02-20,0.0019841866044474276,0.001982871167338787,0.002636097811330458,bull,0.9906214779859396,0.0021315119420434007,0.007247010072017061,0.0
2019-02-21,-0.0036074603577250616,-0.0036092530649924036,0.0035725003934608387,bull,0.9870489775924788,0.004816101530460446,0.008134920877060895,0.0
2019-02-22,0.006188146474651516,0.006187532775346781,0.0012350171020704542,bull,0.9882839946945492,0.003719192344990822,0.007996812960460023,0.0
2019-02-25,0.0013298271850011902,0.0013283303908118646,0.0029975697387459505,bull,0.9912815644332952,0.002231568569072851,0.006486866997632079,0.0
2019-02-26,-0.0006843643774150134,-0.0006856320543641287,0.0025336177799344106,bull,0.9887479466533607,0.0027416725994759343,0.00851038074716338,0.0
2019-02-27,-0.0005223503259018995,-0.0005243790354012669,0.004055296044559896,bull,0.9846926506088008,0.005821027968227004,0.009486321422972203,0.0
2019-02-28,-0.0018799634006061217,-0.00188257281487872,0.0052090197588312865,bull,0.9899016703676321,0.0029232824334949046,0.007175047198872986,0.0
2019-03-01,0.006062219428529624,0.006059449103926183,0.005574332133583949,bull,0.9843273382340482,0.004288656542514538,0.011384005223437204,1.1102230246251565e-16
2019-03-04,-0.0035007554887655596,-0.0035021709466958656,0.002821020846544291,bull,0.9821276866414634,0.003667287288555089,0.014205026069981497,0.0
2019-03-05,-0.0013359712044387685,-0.001339134405384535,0.006317945651452498,bull,0.9884456322929159,0.0022229691124419143,0.00933139859464217,0.0
2019-03-06,-0.0060240156459044954,-0.006033648515503763,0.01914993871365256,bull,0.9692956935792634,0.01064202315300497,0.020062283267731566,1.1102230246251565e-16
2019-03-07,-0.00781685931598986,-0.007826515065851811,0.01916104040400179,bull,0.9519317050811575,0.00884497124710911,0.03922332367173335,0.0
2019-03-08,-0.0018615938611694026,-0.001873049015105122,0.022867566880418216,bull,0.9747992719615757,0.0036858039297929138,0.02151492410863135,1.1102230246251565e-16
2019-03-11,0.013417569692491058,0.013395578510641926,0.04457598685244832,bull,0.9302232851091274,0.011019680308181547,0.05875703458269101,0.0
2019-03-12,0.0038498298117712122,0.0038338488875121006,0.03208487698226647,bull,0.9623081620913938,0.005541815772111128,0.03215002213649497,1.1102230246251565e-16
2019-03-13,0.006393453268872696,0.0063880857616146125,0.010803839206949361,bull,0.9731120012983432,0.004033184037743134,0.022854814663913623,1.1102230246251565e-16
2019-03-14,-0.0007313449053448782,-0.0007369450317805922,0.011192033279744253,bull,0.9843040345780874,0.003756369753475127,0.011939595668437398,0.0
